#id lon lat MIH hmax period
id03427 97.600000 2.030600 0.69 0.14 1042
id03428 97.447400 2.000000 0.71 0.14 994
id03429 97.333300 2.004900 0.59 0.12 1191
id03430 97.200000 2.051100 0.61 0.12 1073
id03431 97.066700 2.017600 0.62 0.12 1109
id03432 97.078100 2.200000 0.80 0.15 771
id03433 97.100000 2.315900 0.58 0.11 906
id03434 97.066700 2.342800 0.58 0.11 959
id03435 97.266700 2.322200 -1.00 -1.00 -1
id03436 97.423900 2.400000 -1.00 -1.00 -1
id03437 97.403000 2.566700 -1.00 -1.00 -1
id03438 97.465200 2.700000 -1.00 -1.00 -1
id03439 97.333300 2.831000 0.81 0.16 1069
id03440 97.200000 2.908000 0.91 0.15 1008
id03441 97.166700 3.035200 0.61 0.12 1033
id03442 97.133300 3.189700 0.76 0.14 854
id03443 97.048300 3.333300 0.79 0.15 828
id03444 96.913000 3.433300 0.66 0.16 698
id03445 96.740200 3.500000 0.56 0.16 1131
id03446 96.666700 3.652000 0.72 0.19 773
id03447 96.480400 3.600000 0.95 0.30 2226
id03448 96.366700 3.632100 0.99 0.31 2185
id03449 96.386100 3.733300 0.65 0.20 2133
id03450 96.300000 3.819600 0.76 0.22 1113
id03451 96.127800 3.866700 0.66 0.17 773
id03452 96.000000 3.986700 -1.00 -1.00 -1
id03453 95.800000 3.962800 0.54 0.15 1095
id03454 95.733300 4.073300 0.45 0.16 2054
id03455 95.840700 4.200000 0.56 0.17 1972
id03456 95.700000 4.300000 0.59 0.16 959
id03457 95.600000 4.433300 -1.00 -1.00 -1
id03458 95.500000 4.531700 0.13 0.05 2744
id03459 95.368300 4.600000 -1.00 -1.00 -1
id03460 95.310700 4.766700 -1.00 -1.00 -1
id03461 95.211900 4.900000 0.01 0.00 2302
id03462 95.195200 5.033300 0.01 0.00 1373
id03463 95.133300 5.207600 0.01 0.00 1116
id03464 95.066700 5.355600 0.01 0.00 919
id03465 95.066700 5.536500 0.01 0.00 2258
id03466 94.987700 5.700000 0.01 0.00 1747
id03467 95.033300 5.814900 0.01 0.00 929
id03468 95.139100 5.700000 0.02 0.00 1023
id03469 95.266700 5.584000 -1.00 -1.00 -1
id03470 95.398700 5.700000 0.03 0.01 1586
id03471 95.500000 5.619000 0.02 0.01 1575
id03472 95.666700 5.618400 0.03 0.01 1192
id03473 95.833300 5.539700 0.03 0.01 1312
id03474 95.963800 5.433300 0.03 0.01 783
id03475 96.100000 5.333800 0.03 0.01 854
id03476 96.233300 5.312900 0.03 0.01 1388
id03477 96.429600 5.266700 -1.00 -1.00 -1
id03478 96.566700 5.236300 0.02 0.00 952
id03479 96.700000 5.277200 0.04 0.01 1178
id03480 96.924700 5.300000 0.04 0.01 1002
id03481 97.066700 5.266700 0.05 0.01 1028
id03482 97.266700 5.286300 0.05 0.01 934
id03483 97.433300 5.339200 0.03 0.01 782
id03484 97.600000 5.283300 0.04 0.01 869
id03485 97.733300 5.200000 0.02 0.00 978
id03486 97.875000 5.100000 0.04 0.01 1049
id03487 98.033300 5.022200 0.03 0.01 974
id03488 98.175000 4.933300 0.06 0.01 974
id03489 98.300000 4.816700 0.05 0.01 1934
id03490 98.433300 4.726700 0.06 0.01 937
id03491 98.600000 4.641700 0.04 0.01 937
id03492 98.733300 4.566700 0.06 0.01 918
id03493 98.866700 4.450000 0.06 0.01 876
id03494 98.966700 4.300000 0.02 0.00 802
id03495 99.033300 4.200000 -1.00 -1.00 -1
id03496 99.166700 4.200000 -1.00 -1.00 -1
id03497 99.316700 4.100000 -1.00 -1.00 -1
id03498 99.433300 3.966700 0.04 0.01 719
id03499 99.600000 3.900000 0.07 0.02 1568
id03500 99.750000 3.833300 0.06 0.01 1515
id03501 99.933300 3.800000 0.07 0.01 915
id03502 100.033300 3.933300 0.06 0.01 657
id03503 100.042900 4.066700 0.08 0.01 577
id03504 100.055600 4.300000 0.04 0.01 1020
id03505 100.125000 4.466700 0.07 0.01 967
id03506 100.133300 4.666700 0.05 0.01 866
id03507 100.066700 4.816700 0.04 0.01 828
id03508 99.988900 4.966700 -1.00 -1.00 -1
id03509 99.966700 5.166700 0.08 0.02 959
id03510 100.000000 5.300000 -1.00 -1.00 -1
id03511 100.100000 5.400000 0.07 0.01 922
id03512 100.033300 5.550000 0.07 0.01 871
id03513 99.833300 5.600000 0.09 0.02 900
id03514 99.733300 5.700000 0.06 0.01 1053
id03515 99.700000 5.900000 -1.00 -1.00 -1
id03516 99.700000 6.033300 0.07 0.02 2092
id03517 99.600000 6.100000 0.09 0.02 1020
id03518 99.466700 6.066700 0.10 0.02 701
id03519 99.344400 6.166700 0.15 0.03 2805
id03520 99.266700 6.300000 0.24 0.04 2827
id03521 99.105600 6.400000 0.13 0.03 2974
id03522 99.062500 6.566700 0.16 0.04 3034
id03523 99.050000 6.733300 0.22 0.04 1057
id03524 99.000000 6.900000 0.32 0.06 1829
id03525 98.933300 7.075000 0.36 0.06 1473
id03526 98.833300 7.222200 0.27 0.06 1702
id03527 98.666700 7.273300 0.32 0.06 3124
id03528 98.466700 7.266700 -1.00 -1.00 -1
id03529 98.300000 7.315200 -1.00 -1.00 -1
id03530 98.161900 7.400000 -1.00 -1.00 -1
id03531 98.133300 7.566700 -1.00 -1.00 -1
id03532 98.113300 7.766700 -1.00 -1.00 -1
id03533 97.933300 7.832400 -1.00 -1.00 -1
id03534 97.900000 8.000000 -1.00 -1.00 -1
id03535 98.000000 8.133300 0.05 0.01 712
id03536 98.083300 8.266700 0.05 0.01 899
id03537 98.110300 8.466700 0.07 0.01 1053
id03538 98.133300 8.666700 0.08 0.02 997
id03539 98.000000 8.752400 -1.00 -1.00 -1
id03540 97.833300 8.737500 0.08 0.02 2242
id03541 97.672700 8.833300 0.10 0.03 4328
id03542 97.640000 9.033300 0.16 0.03 3891
id03543 97.700000 9.233300 -1.00 -1.00 -1
id03544 97.687900 9.400000 0.09 0.03 4379
id03545 97.700000 9.600000 -1.00 -1.00 -1
id03546 97.650000 9.766700 -1.00 -1.00 -1
id03547 97.500000 9.852400 0.07 0.01 944
id03548 97.556300 10.000000 0.09 0.02 1120
id03549 97.655600 10.133300 0.07 0.01 952
id03550 97.666700 10.320000 0.05 0.01 1042
id03551 97.578600 10.466700 0.08 0.02 2444
id03552 97.584200 10.633300 0.10 0.02 1315
id03553 97.538100 10.833300 0.08 0.02 1080
id03554 97.520000 11.033300 0.08 0.01 937
id03555 97.554200 11.233300 0.06 0.01 1165
id03556 97.500000 11.422200 0.05 0.01 1001
id03557 97.419000 11.566700 0.03 0.01 619
id03558 97.364800 11.733300 -1.00 -1.00 -1
id03559 97.400000 11.911100 -1.00 -1.00 -1
id03560 97.460000 12.100000 -1.00 -1.00 -1
id03561 97.446700 12.333300 0.05 0.01 855
id03562 97.444400 12.566700 -1.00 -1.00 -1
id03563 97.508300 12.733300 0.04 0.01 876
id03564 97.633300 12.858300 0.04 0.01 852
id03565 97.766700 12.756100 -1.00 -1.00 -1
id03566 97.812400 12.800000 0.04 0.01 814
id03567 97.841700 12.933300 0.05 0.01 889
id03568 97.833300 13.166700 0.05 0.01 852
id03569 97.833300 13.300000 0.02 0.00 795
id03570 97.700000 13.400000 0.05 0.01 1352
id03571 97.616700 13.566700 0.04 0.01 2051
id03572 97.533300 13.716700 0.06 0.01 1908
id03573 97.466700 13.866700 0.06 0.01 2163
id03574 97.425000 14.066700 0.05 0.01 1913
id03575 97.433300 14.266700 0.06 0.02 3078
id03576 97.500000 14.400000 0.10 0.02 1679
id03577 97.500000 14.533300 0.06 0.02 7286
id03578 97.700000 14.566700 0.08 0.02 7533
id03579 97.820500 14.700000 0.07 0.02 6938
id03580 97.746000 14.866700 0.10 0.03 5621
id03581 97.600000 14.894400 0.04 0.01 2272
id03582 97.483300 14.766700 0.06 0.01 1934
id03583 97.366700 14.633300 0.04 0.01 2272
id03584 97.233300 14.750000 0.08 0.02 5133
id03585 97.133300 14.883300 0.06 0.01 2303
id03586 97.033300 15.008300 0.07 0.01 1582
id03587 96.900000 15.100000 0.04 0.01 2595
id03588 96.733300 15.166700 0.04 0.01 2272
id03589 96.566700 15.240000 0.04 0.01 2257
id03590 96.366700 15.275000 0.06 0.01 2167
id03591 96.166700 15.253300 0.06 0.01 1223
id03592 95.966700 15.223800 0.08 0.02 1788
id03593 95.733300 15.233300 0.08 0.02 1335
id03594 95.533300 15.241700 0.10 0.02 1672
id03595 95.333300 15.200000 0.09 0.02 1954
id03596 95.166700 15.133300 0.10 0.02 1791
id03597 95.000000 15.088900 0.12 0.02 1492
id03598 94.800000 15.100000 0.07 0.02 2329
id03599 94.600000 15.166700 0.06 0.02 2785
id03600 94.466700 15.266700 0.09 0.03 3926
id03601 94.366700 15.366700 0.10 0.03 4117
id03602 94.200000 15.466700 0.07 0.02 3783
id03603 94.122200 15.600000 0.09 0.02 3296
id03604 94.085700 15.800000 0.07 0.02 3131
id03605 94.100000 16.000000 -1.00 -1.00 -1
id03606 94.091700 16.200000 0.09 0.02 2628
id03607 94.114800 16.400000 0.10 0.02 2219
id03608 94.166700 16.571400 0.07 0.02 2137
id03609 94.213700 16.766700 0.08 0.02 1420
id03610 94.300000 16.933300 0.10 0.02 1590
id03611 94.316700 17.133300 0.12 0.03 1626
id03612 94.333300 17.346700 0.10 0.02 1278
id03613 94.390900 17.533300 0.10 0.02 1920
id03614 94.366700 17.766700 0.18 0.03 1560
id03615 94.273300 17.900000 0.23 0.04 1838
id03616 94.133300 17.969200 0.24 0.04 1643
id03617 94.100000 18.087000 0.28 0.05 1908
id03618 94.200000 18.166700 0.23 0.04 2579
id03619 94.100000 18.300000 0.25 0.04 1976
id03620 93.900000 18.345800 0.29 0.05 2264
id03621 93.771800 18.466700 0.30 0.06 2711
id03622 93.666700 18.581500 0.16 0.04 2414
id03623 93.553800 18.700000 0.24 0.05 2301
id03624 93.433300 18.826300 0.23 0.05 2489
id03625 93.448700 19.000000 0.24 0.06 2452
id03626 93.400000 19.173300 0.27 0.06 1555
id03627 93.293300 19.300000 0.25 0.06 2043
id03628 93.200000 19.444400 0.34 0.06 2043
id03629 93.127300 19.600000 0.33 0.06 604
id03630 92.985700 19.700000 0.21 0.05 3161
id03631 92.842900 19.800000 0.24 0.06 2489
id03632 92.733300 19.926700 0.25 0.06 2340
id03633 92.600000 20.014800 0.33 0.06 1927
id03634 92.466700 20.100000 0.40 0.07 2043
id03635 92.325000 20.200000 -1.00 -1.00 -1
id03636 92.133300 20.266700 0.36 0.07 2389
id03637 92.033300 20.400000 0.37 0.07 3565
id03638 91.950000 20.533300 0.43 0.08 2366
id03639 91.866700 20.683300 0.44 0.07 1080
id03640 91.783300 20.833300 0.36 0.06 1927
id03641 91.700000 20.966700 -1.00 -1.00 -1
id03642 91.533300 21.057100 -1.00 -1.00 -1
id03643 91.366700 20.966700 0.18 0.04 1979
id03644 91.233300 20.888900 0.21 0.04 1822
id03645 91.000000 20.880000 0.28 0.05 1815
id03646 90.833300 20.960000 -1.00 -1.00 -1
id03647 90.746700 21.100000 0.23 0.04 2546
id03648 90.633300 21.233300 0.20 0.04 2104
id03649 90.500000 21.300000 0.15 0.03 1949
id03650 90.300000 21.366700 0.16 0.03 1866
id03651 90.133300 21.413300 0.12 0.03 4838
id03652 89.933300 21.458300 0.09 0.02 4244
id03653 89.766700 21.526700 -1.00 -1.00 -1
id03654 89.593300 21.533300 0.07 0.02 2624
id03655 89.466700 21.431800 0.09 0.02 1672
id03656 89.366700 21.296600 -1.00 -1.00 -1
id03657 89.227800 21.200000 -1.00 -1.00 -1
id03658 89.114300 21.066700 -1.00 -1.00 -1
id03659 88.933300 21.029800 -1.00 -1.00 -1
id03660 88.766700 21.095200 0.04 0.01 2067
id03661 88.566700 21.105600 0.04 0.01 2631
id03662 88.366700 21.080000 0.05 0.01 2013
id03663 88.166700 21.040000 -1.00 -1.00 -1
id03664 88.000000 20.983300 0.08 0.02 2677
id03665 87.900000 20.866700 -1.00 -1.00 -1
id03666 87.766700 20.833300 0.03 0.01 3904
id03667 87.600000 20.808300 0.07 0.02 3329
id03668 87.466700 20.708300 -1.00 -1.00 -1
id03669 87.366700 20.600000 0.08 0.02 4147
id03670 87.266700 20.458300 -1.00 -1.00 -1
id03671 87.166700 20.308300 0.06 0.01 2025
id03672 87.033300 20.216700 0.06 0.01 1859
id03673 86.900000 20.104800 0.06 0.01 1866
id03674 86.766700 20.007400 0.00 0.00 989
id03675 86.600000 19.936700 -1.00 -1.00 -1
