ID lon lat depth max_ssh min_ssh period polarity return_code
 2041	+140.3333	+57.5400	 87	0.074	-0.030	 2361	 1	3
 2042	+140.5222	+57.6333	 93	0.067	-0.016	 1957	 1	2
 2043	+140.7000	+57.7133	 94	0.067	-0.016	 2216	 1	2
 2044	+140.8222	+57.8667	 96	0.069	-0.017	 2238	 1	2
 2045	+140.9000	+58.0400	 83	0.079	-0.025	 1489	 1	2
 2046	+141.0667	+58.1571	 80	0.111	-0.041	 2999	 1	3
 2047	+141.2333	+58.2444	 76	0.125	-0.069	 2033	 1	2
 2048	+141.4222	+58.3333	 79	0.104	-0.047	 2055	 1	2
 2049	+141.6333	+58.3857	 80	0.089	-0.035	  780	 1	3
 2050	+141.8333	+58.4556	 86	0.085	-0.041	 2144	 1	2
 2051	+142.0000	+58.5417	 86	0.082	-0.044	 1125	 1	3
 2052	+142.1667	+58.6444	 72	0.086	-0.055	 1837	 1	3
 2053	+142.3000	+58.7778	 68	0.094	-0.056	 2018	 1	2
 2054	+142.4556	+58.9000	 70	0.096	-0.069	 1575	 1	3
 2055	+142.6333	+58.9867	 62	0.105	-0.099	 2449	 1	2
 2056	+142.8333	+59.0600	 54	0.101	-0.079	 2918	 1	2
 2057	+143.0333	+59.1111	 42	0.102	-0.062	 2103	 1	2
 2058	+143.2333	+59.0533	 58	0.115	-0.069	 2115	 1	2
 2059	+143.4667	+59.0857	 59	0.108	-0.054	 2215	 1	2
 2060	+143.6667	+59.1389	 62	0.098	-0.061	 2175	 1	2
 2061	+143.9000	+59.2000	 63	0.087	-0.060	 1998	 1	2
 2062	+144.1000	+59.1714	 65	0.074	-0.052	 1549	 1	2
 2063	+144.3333	+59.1429	 60	0.079	-0.065	 2753	 1	3
 2064	+144.5667	+59.1750	 54	0.088	-0.066	 2587	 1	3
 2065	+144.8000	+59.2121	 37	0.124	-0.071	 2894	 1	3
 2066	+145.0333	+59.2439	 34	0.137	-0.087	 2924	 1	3
 2067	+145.3000	+59.2593	 63	0.117	-0.100	 2880	 1	3
 2068	+145.5333	+59.2917	 63	0.125	-0.064	 2684	 1	3
 2069	+145.5667	+59.2167	 77	0.127	-0.083	 1492	 1	3
 2070	+145.6000	+59.0905	 94	0.084	-0.042	 2130	 1	2
 2071	+145.8333	+59.0417	105	0.086	-0.046	 1739	 1	3
 2072	+146.0667	+59.0683	 95	0.122	-0.067	 2680	-1	3
 2073	+146.3000	+59.1133	 86	0.132	-0.105	  776	-1	3
 2074	+146.5333	+59.1576	 84	0.145	-0.127	 1934	 1	3
 2075	+146.6733	+59.2667	 74	0.146	-0.091	 2633	 1	3
 2076	+146.9000	+59.2542	 76	0.157	-0.143	 2646	 1	3
 2077	+147.1222	+59.2000	 83	0.133	-0.068	 2092	 1	2
 2078	+147.2889	+59.1000	 94	0.134	-0.062	 1942	 1	2
 2079	+147.5000	+59.0600	 98	0.118	-0.047	 2183	 1	2
 2080	+147.7333	+59.0875	 89	0.113	-0.058	  366	 1	3
 2081	+147.9333	+59.1333	 85	0.131	-0.106	 2474	 1	2
 2082	+148.1333	+59.1500	 77	0.171	-0.104	 1526	-1	3
 2083	+148.3333	+59.2067	 69	0.166	-0.148	 1634	 1	2
 2084	+148.5000	+59.1139	 79	0.151	-0.100	 2909	 1	3
 2085	+148.7333	+59.0778	 83	0.143	-0.112	  697	 1	3
 2086	+148.9667	+59.0492	 91	0.173	-0.134	 1421	 1	3
 2087	+149.1762	+59.1000	 92	0.203	-0.126	 3158	-1	3
 2088	+149.3111	+59.2333	 61	0.256	-0.141	 4548	 1	3
 2089	+149.4000	+59.3444	 48	0.206	-0.117	 4143	-1	3
 2090	+149.6000	+59.4111	 44	0.346	-0.245	 2452	 1	3
 2091	+149.7667	+59.5333	 38	0.265	-0.154	 1855	 1	3
 2092	+149.8867	+59.5667	 35	0.300	-0.239	 2782	 1	3
 2093	+150.0667	+59.4667	 53	0.192	-0.201	 2519	-1	3
 2094	+150.2500	+59.4000	 64	0.169	-0.221	 2797	-1	3
 2095	+150.5000	+59.3667	 66	0.190	-0.208	 1868	 1	2
 2096	+150.7333	+59.3600	 63	0.210	-0.218	 2231	 1	2
 2097	+150.9333	+59.3667	 52	0.184	-0.193	 3171	 1	3
 2098	+151.1333	+59.2778	 51	0.164	-0.109	 1484	 1	3
 2099	+151.2000	+59.1800	 52	0.182	-0.094	 1469	 1	3
 2100	+151.0667	+59.0733	 61	0.293	-0.225	 1923	-1	3
 2101	+151.2000	+58.9538	 42	0.262	-0.387	 1604	-1	3
 2102	+151.3271	+58.8000	 79	0.207	-0.248	  753	-1	3
 2103	+151.5667	+58.7702	 94	0.160	-0.242	 2114	 1	2
 2104	+151.8333	+58.7889	 89	0.229	-0.176	 4705	-1	3
 2105	+152.0333	+58.8370	 66	0.241	-0.166	 4987	-1	3
 2106	+152.2333	+58.7944	 89	0.149	-0.168	 4615	 1	3
 2107	+152.4667	+58.8333	 90	0.171	-0.146	 4534	 1	3
 2108	+152.6667	+58.8200	 95	0.170	-0.137	 5047	 1	3
 2109	+152.8333	+58.8500	 84	0.145	-0.153	 1826	 1	3
 2110	+153.0667	+58.8111	 98	0.096	-0.138	 1822	 1	2
 2111	+153.2667	+58.8889	 87	0.086	-0.121	 1710	 1	2
 2112	+153.4333	+58.9917	 74	0.116	-0.182	 1668	-1	3
 2113	+153.6667	+59.0333	 63	0.116	-0.166	 1694	-1	3
 2114	+153.8667	+59.0056	 77	0.121	-0.133	 1698	 1	3
 2115	+154.0333	+58.9167	 89	0.094	-0.092	 1841	 1	2
 2116	+154.2667	+58.8800	100	0.064	-0.092	 4043	 1	3
 2117	+154.5000	+58.9333	 85	0.068	-0.080	 2035	 1	3
 2118	+154.7000	+59.0000	 71	0.097	-0.101	 4473	 1	3
 2119	+154.9000	+59.0600	 64	0.101	-0.088	 2497	 1	3
 2120	+155.1000	+59.1133	 56	0.130	-0.087	 4350	 1	3
 2121	+155.3333	+59.1410	 72	0.091	-0.062	 3277	 1	2
 2122	+155.5333	+59.1507	 65	0.077	-0.055	 1766	 1	3
 2123	+155.7667	+59.1939	 87	0.067	-0.042	 1743	-1	3
 2124	+155.8583	+59.3667	 84	0.063	-0.041	 2099	 1	2
 2125	+155.9500	+59.5333	 95	0.059	-0.028	 4065	 1	2
 2126	+155.7667	+59.5667	 91	0.060	-0.028	 3244	 1	2
 2127	+155.5667	+59.4733	 77	0.065	-0.034	 2340	 1	2
 2128	+155.4167	+59.5333	 71	0.064	-0.034	 2403	 1	2
 2129	+155.2667	+59.6333	 67	0.076	-0.031	 2163	 1	2
 2130	+155.0333	+59.7000	 64	0.072	-0.012	 4053	 1	2
 2131	+154.8000	+59.7167	 41	0.068	-0.012	 2533	 1	2
 2132	+154.8667	+59.8333	 51	0.060	-0.012	 2111	 1	2
 2133	+154.9667	+59.9833	 53	0.055	-0.013	 2302	 1	2
 2134	+155.1333	+60.1000	 61	0.058	-0.013	 1777	 1	2
 2135	+155.3333	+60.1667	 67	0.054	-0.013	 2685	 1	2
 2136	+155.5000	+60.2333	 70	0.056	-0.013	 2565	 1	2
 2137	+155.7000	+60.3000	 72	0.056	-0.013	 3316	 1	2
 2138	+155.9000	+60.3000	 84	0.053	-0.012	 2504	 1	2
 2139	+156.1000	+60.3778	 90	0.053	-0.012	 2298	 1	2
 2140	+156.3000	+60.4556	 98	0.051	-0.012	 2391	 1	2
 2141	+156.4667	+60.5333	106	0.048	-0.012	 2145	 1	2
 2142	+156.6000	+60.7000	 92	0.052	-0.012	 5384	 1	2
 2143	+156.7000	+60.8333	 85	0.060	-0.012	 4154	 1	2
 2144	+156.9000	+60.9222	 80	0.059	-0.013	 1541	-1	2
 2145	+157.1000	+61.0000	 80	0.054	-0.012	 1533	-1	2
 2146	+157.1833	+61.1667	 70	0.045	-0.013	 1477	-1	2
 2147	+157.3333	+61.2889	 72	0.037	-0.013	 1450	-1	2
 2148	+157.5333	+61.3333	 72	0.037	-0.013	    0	 0	1
 2149	+157.7333	+61.4000	 71	0.036	-0.014	    0	 0	1
 2150	+157.9333	+61.4111	 71	0.036	-0.014	    0	 0	1
 2151	+158.2000	+61.4111	 71	0.037	-0.014	    0	 0	1
 2152	+158.4333	+61.4667	 68	0.036	-0.014	    0	 0	1
 2153	+158.6333	+61.5333	 62	0.033	-0.015	    0	 0	1
