#id lon lat MIH hmax period
id03465 95.066700 5.536500 3.13 0.89 1035
id03466 94.987700 5.700000 3.28 0.97 1200
id03467 95.033300 5.814900 2.14 0.54 749
id03468 95.139100 5.700000 -1.00 -1.00 -1
id03469 95.266700 5.584000 2.53 0.69 1492
id03470 95.398700 5.700000 1.54 0.29 97
id03471 95.500000 5.619000 1.28 0.33 1226
id03472 95.666700 5.618400 1.26 0.31 1012
id03473 95.833300 5.539700 -1.00 -1.00 -1
id03474 95.963800 5.433300 0.66 0.22 2588
id03475 96.100000 5.333800 1.43 0.36 1056
id03476 96.233300 5.312900 0.83 0.26 2302
id03477 96.429600 5.266700 1.18 0.38 2388
id03478 96.566700 5.236300 0.69 0.24 2827
id03479 96.700000 5.277200 0.98 0.33 2594
id03480 96.924700 5.300000 0.76 0.24 2355
id03481 97.066700 5.266700 1.47 0.27 2580
id03482 97.266700 5.286300 1.72 0.31 2060
id03483 97.433300 5.339200 1.94 0.39 3570
id03484 97.600000 5.283300 2.63 0.49 2771
id03485 97.733300 5.200000 3.17 0.60 2992
id03486 97.875000 5.100000 3.73 0.68 2458
id03487 98.033300 5.022200 3.66 0.72 3371
id03488 98.175000 4.933300 3.74 0.72 3180
id03489 98.300000 4.816700 3.34 0.64 922
id03490 98.433300 4.726700 2.31 0.57 2906
id03491 98.600000 4.641700 2.58 0.52 5715
id03492 98.733300 4.566700 2.37 0.48 6199
id03493 98.866700 4.450000 2.60 0.41 546
id03494 98.966700 4.300000 2.30 0.41 540
id03495 99.033300 4.200000 2.24 0.50 44
id03496 99.166700 4.200000 2.80 0.52 2748
id03497 99.316700 4.100000 3.05 0.54 2136
id03498 99.433300 3.966700 2.50 0.48 2962
id03499 99.600000 3.900000 2.14 0.53 2962
id03500 99.750000 3.833300 2.16 0.48 42
id03501 99.933300 3.800000 2.09 0.48 2285
id03502 100.033300 3.933300 2.19 0.51 2404
id03503 100.042900 4.066700 2.18 0.49 40
id03504 100.055600 4.300000 3.00 0.51 1585
id03505 100.125000 4.466700 2.54 0.50 1133
id03506 100.133300 4.666700 3.28 0.53 1097
id03507 100.066700 4.816700 3.21 0.59 2563
id03508 99.988900 4.966700 3.06 0.60 3236
id03509 99.966700 5.166700 3.12 0.59 2835
id03510 100.000000 5.300000 3.52 0.66 2821
id03511 100.100000 5.400000 4.17 0.74 2094
id03512 100.033300 5.550000 3.81 0.72 2947
id03513 99.833300 5.600000 2.60 0.63 2790
id03514 99.733300 5.700000 2.37 0.59 2955
id03515 99.700000 5.900000 2.05 0.51 2996
id03516 99.700000 6.033300 2.98 0.54 2343
id03517 99.600000 6.100000 2.95 0.53 2321
id03518 99.466700 6.066700 2.75 0.49 506
id03519 99.344400 6.166700 2.49 0.45 554
id03520 99.266700 6.300000 1.80 0.35 1094
id03521 99.105600 6.400000 2.37 0.39 1303
id03522 99.062500 6.566700 1.42 0.32 2066
id03523 99.050000 6.733300 1.37 0.27 1140
id03524 99.000000 6.900000 1.92 0.39 3874
id03525 98.933300 7.075000 2.29 0.40 1766
id03526 98.833300 7.222200 2.04 0.36 1975
id03527 98.666700 7.273300 1.38 0.32 2421
id03528 98.466700 7.266700 1.69 0.32 911
